2025-12-28 15:15:03 PKT LOG:  database system was interrupted; last known up at 2025-12-27 18:35:37 PKT
2025-12-28 15:15:04 PKT LOG:  database system was not properly shut down; automatic recovery in progress
2025-12-28 15:15:04 PKT LOG:  redo starts at 0/5E20530
2025-12-28 15:15:04 PKT LOG:  invalid record length at 0/5E20638: expected at least 24, got 0
2025-12-28 15:15:04 PKT LOG:  redo done at 0/5E20600 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-12-28 15:15:04 PKT LOG:  checkpoint starting: end-of-recovery immediate wait
2025-12-28 15:15:04 PKT LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.003 s, total=0.014 s; sync files=2, longest=0.002 s, average=0.002 s; distance=0 kB, estimate=0 kB; lsn=0/5E20638, redo lsn=0/5E20638
2025-12-28 15:17:38 PKT ERROR:  canceling statement due to user request
2025-12-28 15:17:38 PKT ERROR:  canceling statement due to user request
2025-12-28 15:17:38 PKT LOG:  shutting down
2025-12-28 15:17:38 PKT LOG:  checkpoint starting: shutdown immediate
2025-12-28 15:17:38 PKT LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.001 s, total=0.016 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/5E206E8, redo lsn=0/5E206E8
