2025-12-12 14:09:49 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."subscribers"."id" FROM "public"."subscribers" WHERE "public"."subscribers"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 14:09:49 PKT ERROR:  relation "public.bookings" does not exist at character 60
2025-12-12 14:09:49 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bookings"."id" FROM "public"."bookings" WHERE ("public"."bookings"."date" >= $1 AND "public"."bookings"."date" < $2) OFFSET $3) AS "sub"
2025-12-12 14:09:50 PKT ERROR:  relation "public.bootcamps" does not exist at character 61
2025-12-12 14:09:50 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bootcamps"."id" FROM "public"."bootcamps" WHERE "public"."bootcamps"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 14:10:07 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 14:10:07 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 14:10:25 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 14:10:25 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 14:10:26 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 14:10:26 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 14:10:26 PKT ERROR:  relation "public.subscribers" does not exist at character 63
2025-12-12 14:10:26 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."subscribers"."id" FROM "public"."subscribers" WHERE "public"."subscribers"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 14:10:26 PKT ERROR:  relation "public.bookings" does not exist at character 60
2025-12-12 14:10:26 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bookings"."id" FROM "public"."bookings" WHERE ("public"."bookings"."date" >= $1 AND "public"."bookings"."date" < $2) OFFSET $3) AS "sub"
2025-12-12 14:10:26 PKT ERROR:  relation "public.bootcamps" does not exist at character 61
2025-12-12 14:10:26 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bootcamps"."id" FROM "public"."bootcamps" WHERE "public"."bootcamps"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 14:10:26 PKT ERROR:  relation "public.subscribers" does not exist at character 63
2025-12-12 14:10:26 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."subscribers"."id" FROM "public"."subscribers" WHERE "public"."subscribers"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 14:10:27 PKT ERROR:  relation "public.bookings" does not exist at character 60
2025-12-12 14:10:27 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bookings"."id" FROM "public"."bookings" WHERE ("public"."bookings"."date" >= $1 AND "public"."bookings"."date" < $2) OFFSET $3) AS "sub"
2025-12-12 14:10:27 PKT ERROR:  relation "public.bootcamps" does not exist at character 61
2025-12-12 14:10:27 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bootcamps"."id" FROM "public"."bootcamps" WHERE "public"."bootcamps"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 14:10:37 PKT LOG:  checkpoint starting: time
2025-12-12 14:10:38 PKT LOG:  checkpoint complete: wrote 7 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.659 s, sync=0.023 s, total=0.705 s; sync files=7, longest=0.015 s, average=0.004 s; distance=9 kB, estimate=9 kB; lsn=0/5E1D758, redo lsn=0/5E1D700
2025-12-12 14:11:25 PKT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-12-12 14:11:25 PKT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-12-12 14:53:06 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 14:53:06 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 14:53:06 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 14:53:06 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 14:53:13 PKT ERROR:  relation "public.subscribers" does not exist at character 63
2025-12-12 14:53:13 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."subscribers"."id" FROM "public"."subscribers" WHERE "public"."subscribers"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 14:53:13 PKT ERROR:  relation "public.bookings" does not exist at character 60
2025-12-12 14:53:13 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bookings"."id" FROM "public"."bookings" WHERE ("public"."bookings"."date" >= $1 AND "public"."bookings"."date" < $2) OFFSET $3) AS "sub"
2025-12-12 14:53:13 PKT ERROR:  relation "public.bootcamps" does not exist at character 61
2025-12-12 14:53:13 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bootcamps"."id" FROM "public"."bootcamps" WHERE "public"."bootcamps"."isActive" = $1 OFFSET $2) AS "sub"
