2026-01-07 22:35:31 PKT LOG:  database system was interrupted; last known up at 2026-01-06 19:38:10 PKT
2026-01-07 22:35:33 PKT LOG:  database system was not properly shut down; automatic recovery in progress
2026-01-07 22:35:33 PKT LOG:  redo starts at 0/5E20D90
2026-01-07 22:35:33 PKT LOG:  invalid record length at 0/5E20DC8: expected at least 24, got 0
2026-01-07 22:35:33 PKT LOG:  redo done at 0/5E20D90 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2026-01-07 22:35:33 PKT LOG:  checkpoint starting: end-of-recovery immediate wait
2026-01-07 22:35:33 PKT LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.009 s, total=0.031 s; sync files=2, longest=0.006 s, average=0.005 s; distance=0 kB, estimate=0 kB; lsn=0/5E20DC8, redo lsn=0/5E20DC8
2026-01-07 22:37:39 PKT ERROR:  canceling statement due to user request
2026-01-07 22:37:39 PKT ERROR:  canceling statement due to user request
2026-01-07 22:37:39 PKT LOG:  shutting down
2026-01-07 22:37:39 PKT LOG:  checkpoint starting: shutdown immediate
2026-01-07 22:37:39 PKT LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.001 s, total=0.017 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/5E20E78, redo lsn=0/5E20E78
